path,line,column,offset,codepoint,char_repr,category,compile_impact,note
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,0,0,-1,0,,decode,high_review_code_or_markup,Decoder inserted U+FFFD 1 time(s); file may be mixed encoding or binary — review before compile.
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,1,11,10,226,'â',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,1,12,11,8224,'†',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,1,13,12,8217,'’',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,7,114,540,226,'â',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,7,115,541,8364,'€',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,7,116,542,8221,'”',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,9,91,716,226,'â',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,9,92,717,8364,'€',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,9,93,718,339,'œ',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,9,101,726,226,'â',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,9,102,727,8364,'€',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,9,103,728,65533,'�',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,53,111,2151,226,'â',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,53,112,2152,8364,'€',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,53,113,2153,8221,'”',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,54,132,2320,226,'â',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,54,133,2321,8364,'€',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,54,134,2322,8221,'”',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,55,93,2458,226,'â',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,55,94,2459,8364,'€',text,low_comment_only,
C:\openRewrite\openRewrite\cp1252-utf8-migration\README.md,55,95,2460,8221,'”',text,low_comment_only,
